REGION,ECOSYSTEM,PRODUCT,PRODUCT_VERSION,ENV,STATUS,ZONE,HOSTNAME,FDQN,LOCATION,PERIMETER,DOMAIN,OS_VERSION,LABEL
EMEA,"AXWSNTUK","weblogic","2.3","DEV","ACTIVE","PRD","eurvli93518","eurvli93518.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"AXWSNTUK","weblogic","2.3","DEV","ACTIVE","PRD","eurvli93517","eurvli93517.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"AXWSNTUK","weblogic","2.3","DEV","ACTIVE","PRD","eurvli93519","eurvli93519.xmp.net.intra","CORE","intranet","euro","9","wls_master"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76083","eurvli76083.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76081","eurvli76081.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76082","eurvli76082.xmp.net.intra","CORE","intranet","","8","wls_master"
EMEA,"VAS","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92789","eurvli92789.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"VAS","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92787","eurvli92787.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"VAS","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92788","eurvli92788.xmp.net.intra","CORE","intranet","euro","9","wls_master"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76047","eurvli76047.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76048","eurvli76048.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76049","eurvli76049.xmp.net.intra","CORE","intranet","","8","wls_master"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76042","eurvli76042.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76043","eurvli76043.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"FISH","weblogic","2.1","DEV","ACTIVE","PRD","eurvli76044","eurvli76044.xmp.net.intra","CORE","intranet","","8","wls_master"
EMEA,"INTELLIMATCH-ICE","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92661","eurvli92661.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"INTELLIMATCH-ICE","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92660","eurvli92660.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"INTELLIMATCH-ICE","weblogic","2.3","DEV","ACTIVE","PRD","eurvli92659","eurvli92659.xmp.net.intra","CORE","intranet","euro","9","wls_master"
EMEA,"VAS","weblogic","2.1","DEV","ACTIVE","PRD","eurvli75779","eurvli75779.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic","2.1","DEV","ACTIVE","PRD","eurvli75776","eurvli75776.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic","2.1","DEV","ACTIVE","PRD","eurvli75780","eurvli75780.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic","2.1","DEV","ACTIVE","PRD","eurvli75777","eurvli75777.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic","2.1","DEV","ACTIVE","PRD","eurvli75778","eurvli75778.xmp.net.intra","CORE","intranet","","8","wls_master"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114788","eurvli114788.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114792","eurvli114792.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114789","eurvli114789.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114790","eurvli114790.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114791","eurvli114791.xmp.net.intra","CORE","intranet","euro","9","wls_master"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114783","eurvli114783.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114787","eurvli114787.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114784","eurvli114784.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic","2.4","DEV","ACTIVE","PRD","eurvli114786","eurvli114786.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
